,chem_colors,chem_pc1,chem_pc2,docking_score,label,mmgbsa,png,site_colors,site_pc1,site_pc2,url
ZINC000079023653,#1b85b8,0.5985781173647877,1.6540677212798285,-6.51303053980682,ZINC000079023653,-49.068065260398704,http://zinc15.docking.org/substances/ZINC000079023653.png,#cb2636,-3.3014056652997867,1.025637666632121,http://zinc15.docking.org/substances/ZINC000079023653/
ZINC000105775073,#1b85b8,0.06742474826443354,1.0168627571919526,-5.79381453920547,ZINC000105775073,-49.06515150858829,http://zinc15.docking.org/substances/ZINC000105775073.png,#cb2636,-1.9105569747483198,2.5505743200912296,http://zinc15.docking.org/substances/ZINC000105775073/
ZINC000077485477,#559e83,2.135289141628737,0.6652287073336951,-6.35009809931699,ZINC000077485477,-49.06157620902739,http://zinc15.docking.org/substances/ZINC000077485477.png,#cb2636,-0.3973260588603421,2.72078894457164,http://zinc15.docking.org/substances/ZINC000077485477/
ZINC000011667017,#ae5a41,-2.397123396406448,-0.7147854635484828,-5.64657958654482,ZINC000011667017,-49.0601067054486,http://zinc15.docking.org/substances/ZINC000011667017.png,#cb2636,-2.735799287597701,2.6251879230353174,http://zinc15.docking.org/substances/ZINC000011667017/
ZINC000257301294,#ae5a41,-0.36634875191341054,-1.2559735415761144,-5.703520600002969,ZINC000257301294,-49.059134941999204,http://zinc15.docking.org/substances/ZINC000257301294.png,#cb2636,-0.3795137547397243,0.10599488995371974,http://zinc15.docking.org/substances/ZINC000257301294/
ZINC000257302313,#1b85b8,0.0859986298065349,1.2358261141560594,-5.26310005097509,ZINC000257302313,-49.0555947167704,http://zinc15.docking.org/substances/ZINC000257302313.png,#554c78,1.6593646368281827,1.7426369434899032,http://zinc15.docking.org/substances/ZINC000257302313/
ZINC000091725607,#1b85b8,-0.44414617715259164,2.8322350417797058,-5.7265424219409695,ZINC000091725607,-49.0545545255009,http://zinc15.docking.org/substances/ZINC000091725607.png,#cb2636,-2.5687598651893926,1.961407617359256,http://zinc15.docking.org/substances/ZINC000091725607/
ZINC000022927915,#1b85b8,-1.0890994756957906,1.9717683687617114,-5.995700678844281,ZINC000022927915,-49.053397974697894,http://zinc15.docking.org/substances/ZINC000022927915.png,#cb2636,-0.47117449880020545,1.5582932322686258,http://zinc15.docking.org/substances/ZINC000022927915/
ZINC000257227713,#559e83,0.933405594573757,-1.1916405734224087,-5.54974143571388,ZINC000257227713,-49.05309311299789,http://zinc15.docking.org/substances/ZINC000257227713.png,#cb2636,0.24568098717274625,2.7555505214117906,http://zinc15.docking.org/substances/ZINC000257227713/
ZINC000426361129,#5a5255,-0.6665634943543188,-0.09664750599507335,-5.98315486662743,ZINC000426361129,-49.0470910227959,http://zinc15.docking.org/substances/ZINC000426361129.png,#ff8b27,1.2222836027165318,-1.7117416224239477,http://zinc15.docking.org/substances/ZINC000426361129/
ZINC000426584516,#5a5255,0.07436473240436055,-0.4557095662714759,-5.24989580908521,ZINC000426584516,-49.0343055572994,http://zinc15.docking.org/substances/ZINC000426584516.png,#cb2636,-0.32212393455945126,1.7977706010001935,http://zinc15.docking.org/substances/ZINC000426584516/
ZINC000095524469,#1b85b8,-0.8321775892735803,1.9977498168076375,-5.6145707713635895,ZINC000095524469,-49.024072646228895,http://zinc15.docking.org/substances/ZINC000095524469.png,#cb2636,-0.23964309064449268,0.7378705243611559,http://zinc15.docking.org/substances/ZINC000095524469/
ZINC000006941037,#1b85b8,-0.4466691704369226,1.8032310890389647,-6.068137901669849,ZINC000006941037,-49.0067123512963,http://zinc15.docking.org/substances/ZINC000006941037.png,#cb2636,-0.8575279457013099,0.6019790745175715,http://zinc15.docking.org/substances/ZINC000006941037/
ZINC000067286420,#1b85b8,-0.1472627043884417,1.9058030722564665,-5.71326790543851,ZINC000067286420,-49.0060519233994,http://zinc15.docking.org/substances/ZINC000067286420.png,#6abf5a,-3.8400333214921565,-0.6974118735633391,http://zinc15.docking.org/substances/ZINC000067286420/
ZINC000005496334,#5a5255,-1.0875704619630477,-0.21443900767444754,-5.769403090339599,ZINC000005496334,-49.00078887779821,http://zinc15.docking.org/substances/ZINC000005496334.png,#cb2636,-1.7415714099510127,2.1528034981357584,http://zinc15.docking.org/substances/ZINC000005496334/
ZINC000072432736,#5a5255,-0.5389643117408788,0.07664801369570384,-5.24236281641529,ZINC000072432736,-48.9945537142012,http://zinc15.docking.org/substances/ZINC000072432736.png,#cb2636,-2.663141331977532,2.1134390931801224,http://zinc15.docking.org/substances/ZINC000072432736/
ZINC000035422098,#559e83,1.9867484055042497,0.2603041416021958,-5.805944986651849,ZINC000035422098,-48.991384270298994,http://zinc15.docking.org/substances/ZINC000035422098.png,#ff8b27,1.8234318523008584,-0.5075775582576423,http://zinc15.docking.org/substances/ZINC000035422098/
ZINC000035401408,#559e83,2.587477149766762,0.8079897695478264,-6.53956058673926,ZINC000035401408,-48.9913727717976,http://zinc15.docking.org/substances/ZINC000035401408.png,#ff8b27,2.305561851857484,0.3661997272286213,http://zinc15.docking.org/substances/ZINC000035401408/
ZINC000072151848,#559e83,0.7282171160571222,-0.696171352147156,-5.4956916437005,ZINC000072151848,-48.9844495681973,http://zinc15.docking.org/substances/ZINC000072151848.png,#cb2636,-2.5839718201358917,1.4845656632363418,http://zinc15.docking.org/substances/ZINC000072151848/
ZINC000169681556,#1b85b8,-0.6255273672407855,1.4145376288554836,-5.38976626197787,ZINC000169681556,-48.9835063829996,http://zinc15.docking.org/substances/ZINC000169681556.png,#6abf5a,-3.980407256547166,-1.929598211167757,http://zinc15.docking.org/substances/ZINC000169681556/
ZINC000092061963,#559e83,0.7157724005860816,-0.6101636910263425,-6.27748459907481,ZINC000092061963,-48.9818389384964,http://zinc15.docking.org/substances/ZINC000092061963.png,#ff8b27,1.4309178830643188,-2.3298255134451327,http://zinc15.docking.org/substances/ZINC000092061963/
ZINC000514287746,#5a5255,-1.3902890654774966,-0.24976802291123737,-5.45262917656551,ZINC000514287746,-48.9804263584992,http://zinc15.docking.org/substances/ZINC000514287746.png,#cb2636,-2.480415666829188,1.7840344069833007,http://zinc15.docking.org/substances/ZINC000514287746/
ZINC000038735353,#5a5255,-0.5446261903844615,-0.3660371348181958,-6.630545023858599,ZINC000038735353,-48.969795841298,http://zinc15.docking.org/substances/ZINC000038735353.png,#6abf5a,-1.5850064978855514,0.9119201165547763,http://zinc15.docking.org/substances/ZINC000038735353/
ZINC000091793838,#1b85b8,0.9399365337823405,1.8919125880527654,-5.6953165148722995,ZINC000091793838,-48.9582622099988,http://zinc15.docking.org/substances/ZINC000091793838.png,#554c78,3.129458072574023,0.10391383490660261,http://zinc15.docking.org/substances/ZINC000091793838/
ZINC000077376158,#1b85b8,0.7946195983147288,1.1830080688044118,-5.37528705671664,ZINC000077376158,-48.9505501727981,http://zinc15.docking.org/substances/ZINC000077376158.png,#6abf5a,-3.16674332470806,-0.16679076293703546,http://zinc15.docking.org/substances/ZINC000077376158/
ZINC000019709207,#559e83,2.605106001712968,0.5458174828933898,-5.30470922889477,ZINC000019709207,-48.94792824930121,http://zinc15.docking.org/substances/ZINC000019709207.png,#ff8b27,1.750387767117386,-1.3776267018274657,http://zinc15.docking.org/substances/ZINC000019709207/
ZINC000019348207,#559e83,1.0495642817619761,0.17604163323023508,-5.338116083970941,ZINC000019348207,-48.9435759788867,http://zinc15.docking.org/substances/ZINC000019348207.png,#ff8b27,1.692934652185969,-1.3395687616263146,http://zinc15.docking.org/substances/ZINC000019348207/
ZINC000019376595,#559e83,2.5102964233164085,-0.7141326945305118,-6.36575469957775,ZINC000019376595,-48.939446830398104,http://zinc15.docking.org/substances/ZINC000019376595.png,#ff8b27,1.755058092959628,-0.850879001975451,http://zinc15.docking.org/substances/ZINC000019376595/
ZINC000095407004,#5a5255,-0.6643961992461118,-0.10881061678776566,-5.73282605572177,ZINC000095407004,-48.93543071201199,http://zinc15.docking.org/substances/ZINC000095407004.png,#cb2636,-1.5962877015132053,2.0555488942398332,http://zinc15.docking.org/substances/ZINC000095407004/
ZINC000534676844,#559e83,0.9494413200096349,-0.42145910456325203,-5.56714135949386,ZINC000534676844,-48.934256020929794,http://zinc15.docking.org/substances/ZINC000534676844.png,#cb2636,-1.242840467442572,1.7861991617832749,http://zinc15.docking.org/substances/ZINC000534676844/
ZINC000585285396,#559e83,1.3533664785058697,-0.6834223596518769,-6.56308320842144,ZINC000585285396,-48.9301851601995,http://zinc15.docking.org/substances/ZINC000585285396.png,#ff8b27,1.284854518550965,-1.172644547751047,http://zinc15.docking.org/substances/ZINC000585285396/
ZINC000001840591,#5a5255,-1.0069268990699525,-0.4156734589593793,-6.04776290144606,ZINC000001840591,-48.9266688949974,http://zinc15.docking.org/substances/ZINC000001840591.png,#ff8b27,1.8106653432124762,-0.470078096139011,http://zinc15.docking.org/substances/ZINC000001840591/
ZINC000225008520,#5a5255,-0.6721415120384227,0.10389609723456522,-6.17654824967728,ZINC000225008520,-48.9234343997996,http://zinc15.docking.org/substances/ZINC000225008520.png,#554c78,3.6165486411753243,1.2156156276544012,http://zinc15.docking.org/substances/ZINC000225008520/
ZINC000084007962,#1b85b8,-0.4958544381869528,2.4585915323852494,-6.01555997098768,ZINC000084007962,-48.9198050131999,http://zinc15.docking.org/substances/ZINC000084007962.png,#ff8b27,0.675328460567597,-2.4897552055956433,http://zinc15.docking.org/substances/ZINC000084007962/
ZINC000067871382,#559e83,0.6202754870113741,-0.45409938252435206,-5.8732803766740895,ZINC000067871382,-48.91923317770121,http://zinc15.docking.org/substances/ZINC000067871382.png,#554c78,3.7534898047316823,1.4642334675274338,http://zinc15.docking.org/substances/ZINC000067871382/
ZINC000034863414,#1b85b8,0.29037327278217495,1.304044420454564,-5.60109547876021,ZINC000034863414,-48.915853917300396,http://zinc15.docking.org/substances/ZINC000034863414.png,#cb2636,-2.317980717593435,1.363547343253317,http://zinc15.docking.org/substances/ZINC000034863414/
ZINC000019705656,#559e83,1.5360655554921774,-0.3889671751314297,-5.53241743044658,ZINC000019705656,-48.915463028297395,http://zinc15.docking.org/substances/ZINC000019705656.png,#ff8b27,1.0951813618170927,-1.8287454183467482,http://zinc15.docking.org/substances/ZINC000019705656/
ZINC000030940964,#559e83,0.6290180344992019,-0.3333727812848305,-5.317165054337059,ZINC000030940964,-48.895709184300394,http://zinc15.docking.org/substances/ZINC000030940964.png,#554c78,3.6987612442613997,0.9278653159026582,http://zinc15.docking.org/substances/ZINC000030940964/
ZINC000426381845,#5a5255,0.26541436599243406,0.06353772727831707,-5.955113651753909,ZINC000426381845,-48.8831288054971,http://zinc15.docking.org/substances/ZINC000426381845.png,#cb2636,-2.2762230992528756,0.0004704810917008958,http://zinc15.docking.org/substances/ZINC000426381845/
ZINC000012888810,#5a5255,-0.9373015906852581,-0.5396370543304015,-6.00092774118106,ZINC000012888810,-48.878059216698595,http://zinc15.docking.org/substances/ZINC000012888810.png,#ff8b27,0.9822908069633784,-0.565426326281672,http://zinc15.docking.org/substances/ZINC000012888810/
